"Name","Id","Path"
"AggregatorHost","7968",
"Antigravity","3064","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","5596","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","5844","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","7936","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","10076","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","12980","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","15832","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","16040","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","16264","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","18216","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","22892","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","25472","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","25648","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","25732","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","26196","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","26524","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","27760","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","28180","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","29576","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","31108","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","31536","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","32116","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","32152","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","33016","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","33216","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","33248","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","33764","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","34100","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"Antigravity","34328","C:\Users\abraa\AppData\Local\Programs\Antigravity\Antigravity.exe"
"AppActions","8400","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe"
"ApplicationFrameHost","11080","C:\Windows\system32\ApplicationFrameHost.exe"
"Arc","4396","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"Arc","9592","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"Arc","11312","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"Arc","13508","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"Arc","14068","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"Arc","14348","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"Arc","14356","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"Arc","14432","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"Arc","15132","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"Arc","20908","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"Arc","26816","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"Arc","27784","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"Arc","31804","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"Arc","32448","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"Arc","33824","C:\Program Files\WindowsApps\TheBrowserCompany.Arc_1.98.0.323_x64__ttt1ap7aakyb4\Arc.exe"
"audiodg","11948",
"backgroundTaskHost","8644","C:\Windows\system32\backgroundTaskHost.exe"
"backgroundTaskHost","15948","C:\Windows\system32\backgroundTaskHost.exe"
"backgroundTaskHost","32900","C:\Windows\system32\backgroundTaskHost.exe"
"BlueStacksServices","1120","C:\Users\abraa\AppData\Local\Programs\bluestacks-services\BlueStacksServices.exe"
"BlueStacksServices","3108","C:\Users\abraa\AppData\Local\Programs\bluestacks-services\BlueStacksServices.exe"
"BlueStacksServices","9348","C:\Users\abraa\AppData\Local\Programs\bluestacks-services\BlueStacksServices.exe"
"BlueStacksServices","19500","C:\Users\abraa\AppData\Local\Programs\bluestacks-services\BlueStacksServices.exe"
"chrome","468","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","1660","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","3316","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","5692","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","7284","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","7380","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","11036","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","11052","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","12176","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","14668","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","14784","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","15324","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","15912","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","16552","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","17340","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","19668","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","19748","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","22612","C:\Program Files\Google\Chrome\Application\chrome.exe"
